day;month;year;day;kw;desc;kanton
20;Oktober;2017;Fr;KW 42;Wendelinstag;Kanton Luzern
01;November;2017;Mi;KW 44;Allerheiligen;Kanton Luzern
11;November;2017;Sa;KW 45;St. Martin;Kanton Luzern
26;November;2017;So;KW 47;St. Konrad;Kanton Luzern
30;November;2017;Do;KW 48;Andreastag;Kanton Luzern
08;Dezember;2017;Fr;KW 49;Mariä Empfängnis;Kanton Luzern
13;Dezember;2017;Mi;KW 50;Heilige Lucia;Kanton Luzern
25;Dezember;2017;Mo;KW 52;Weihnachten;Kanton Luzern
26;Dezember;2017;Di;KW 52;Stephanstag;Kanton Luzern
01;Januar;2018;Mo;KW 01;Neujahrstag;Kanton Luzern
20;Januar;2018;Sa;KW 03;Fest des hl. Sebastian;Kanton Luzern
03;Februar;2018;Sa;KW 05;St. Blasius;Kanton Luzern
05;Februar;2018;Mo;KW 06;St. Agatha;Kanton Luzern
19;März;2018;Mo;KW 12;St. Josef;Kanton Luzern
30;März;2018;Fr;KW 13;Karfreitag;Kanton Luzern
01;Mai;2018;Di;KW 18;Kirchweihfest;Kanton Luzern
01;Mai;2018;Di;KW 18;St. Johannes;Kanton Luzern
10;Mai;2018;Do;KW 19;Auffahrt;Kanton Luzern
12;Mai;2018;Sa;KW 19;St. Pankratius;Kanton Luzern
31;Mai;2018;Do;KW 22;Fronleichnam;Kanton Luzern
29;Juni;2018;Fr;KW 26;St. Peter und Paul;Kanton Luzern
04;Juli;2018;Mi;KW 27;St. Ulrich;Kanton Luzern
01;August;2018;Mi;KW 31;Nationalfeiertag Schweiz;Kanton Luzern
10;August;2018;Fr;KW 32;St. Laurentius;Kanton Luzern
15;August;2018;Mi;KW 33;Mariä Himmelfahrt;Kanton Luzern
01;September;2018;Sa;KW 35;Verenentag;Kanton Luzern
02;September;2018;So;KW 35;St. Justus;Kanton Luzern
22;September;2018;Sa;KW 38;St. Mauritiustag;Kanton Luzern
29;September;2018;Sa;KW 39;St. Michael;Kanton Luzern
30;September;2018;So;KW 39;St. Hieronymus;Kanton Luzern
01;Oktober;2018;Mo;KW 40;Heilige Theresia;Kanton Luzern
02;Oktober;2018;Di;KW 40;St. Leodegar;Kanton Luzern
16;Oktober;2018;Di;KW 42;Gallustag;Kanton Luzern
20;Oktober;2018;Sa;KW 42;Wendelinstag;Kanton Luzern
01;November;2018;Do;KW 44;Allerheiligen;Kanton Luzern
11;November;2018;So;KW 45;St. Martin;Kanton Luzern
26;November;2018;Mo;KW 48;St. Konrad;Kanton Luzern
30;November;2018;Fr;KW 48;Andreastag;Kanton Luzern
08;Dezember;2018;Sa;KW 49;Mariä Empfängnis;Kanton Luzern
13;Dezember;2018;Do;KW 50;Heilige Lucia;Kanton Luzern
25;Dezember;2018;Di;KW 52;Weihnachten;Kanton Luzern
26;Dezember;2018;Mi;KW 52;Stephanstag;Kanton Luzern
01;Januar;2017;So;KW 52;Neujahrstag;Kanton Neuenburg
01;März;2017;Mi;KW 09;Jahrestag Ausrufung Republik Neuenburg;Kanton Neuenburg
14;April;2017;Fr;KW 15;Karfreitag;Kanton Neuenburg
01;Mai;2017;Mo;KW 18;Tag der Arbeit;Kanton Neuenburg
25;Mai;2017;Do;KW 21;Auffahrt;Kanton Neuenburg
15;Juni;2017;Do;KW 24;Fronleichnam;Kanton Neuenburg
01;August;2017;Di;KW 31;Nationalfeiertag Schweiz;Kanton Neuenburg
25;Dezember;2017;Mo;KW 52;Weihnachten;Kanton Neuenburg
01;Januar;2018;Mo;KW 01;Neujahrstag;Kanton Neuenburg
01;März;2018;Do;KW 09;Jahrestag Ausrufung Republik Neuenburg;Kanton Neuenburg
30;März;2018;Fr;KW 13;Karfreitag;Kanton Neuenburg
01;Mai;2018;Di;KW 18;Tag der Arbeit;Kanton Neuenburg
10;Mai;2018;Do;KW 19;Auffahrt;Kanton Neuenburg
31;Mai;2018;Do;KW 22;Fronleichnam;Kanton Neuenburg
01;August;2018;Mi;KW 31;Nationalfeiertag Schweiz;Kanton Neuenburg
25;Dezember;2018;Di;KW 52;Weihnachten;Kanton Neuenburg
01;Januar;2017;So;KW 52;Neujahrstag;Kanton Nidwalden
19;März;2017;So;KW 11;St. Josef;Kanton Nidwalden
14;April;2017;Fr;KW 15;Karfreitag;Kanton Nidwalden
25;Mai;2017;Do;KW 21;Auffahrt;Kanton Nidwalden
15;Juni;2017;Do;KW 24;Fronleichnam;Kanton Nidwalden
01;August;2017;Di;KW 31;Nationalfeiertag Schweiz;Kanton Nidwalden
15;August;2017;Di;KW 33;Mariä Himmelfahrt;Kanton Nidwalden
01;November;2017;Mi;KW 44;Allerheiligen;Kanton Nidwalden
08;Dezember;2017;Fr;KW 49;Mariä Empfängnis;Kanton Nidwalden
25;Dezember;2017;Mo;KW 52;Weihnachten;Kanton Nidwalden
01;Januar;2018;Mo;KW 01;Neujahrstag;Kanton Nidwalden
19;März;2018;Mo;KW 12;St. Josef;Kanton Nidwalden
30;März;2018;Fr;KW 13;Karfreitag;Kanton Nidwalden
10;Mai;2018;Do;KW 19;Auffahrt;Kanton Nidwalden
31;Mai;2018;Do;KW 22;Fronleichnam;Kanton Nidwalden
01;August;2018;Mi;KW 31;Nationalfeiertag Schweiz;Kanton Nidwalden
15;August;2018;Mi;KW 33;Mariä Himmelfahrt;Kanton Nidwalden
01;November;2018;Do;KW 44;Allerheiligen;Kanton Nidwalden
08;Dezember;2018;Sa;KW 49;Mariä Empfängnis;Kanton Nidwalden
25;Dezember;2018;Di;KW 52;Weihnachten;Kanton Nidwalden
01;Januar;2017;So;KW 52;Neujahrstag;Kanton Obwalden
21;März;2017;Di;KW 12;St. Benediktstag;Kanton Obwalden
14;April;2017;Fr;KW 15;Karfreitag;Kanton Obwalden
25;Mai;2017;Do;KW 21;Auffahrt;Kanton Obwalden
15;Juni;2017;Do;KW 24;Fronleichnam;Kanton Obwalden
01;August;2017;Di;KW 31;Nationalfeiertag Schweiz;Kanton Obwalden
15;August;2017;Di;KW 33;Mariä Himmelfahrt;Kanton Obwalden
25;September;2017;Mo;KW 39;St. Niklaus von Flüe;Kanton Obwalden
01;November;2017;Mi;KW 44;Allerheiligen;Kanton Obwalden
08;Dezember;2017;Fr;KW 49;Mariä Empfängnis;Kanton Obwalden
25;Dezember;2017;Mo;KW 52;Weihnachten;Kanton Obwalden
01;Januar;2018;Mo;KW 01;Neujahrstag;Kanton Obwalden
21;März;2018;Mi;KW 12;St. Benediktstag;Kanton Obwalden
30;März;2018;Fr;KW 13;Karfreitag;Kanton Obwalden
10;Mai;2018;Do;KW 19;Auffahrt;Kanton Obwalden
31;Mai;2018;Do;KW 22;Fronleichnam;Kanton Obwalden
01;August;2018;Mi;KW 31;Nationalfeiertag Schweiz;Kanton Obwalden
15;August;2018;Mi;KW 33;Mariä Himmelfahrt;Kanton Obwalden
25;September;2018;Di;KW 39;St. Niklaus von Flüe;Kanton Obwalden
01;November;2018;Do;KW 44;Allerheiligen;Kanton Obwalden
08;Dezember;2018;Sa;KW 49;Mariä Empfängnis;Kanton Obwalden
25;Dezember;2018;Di;KW 52;Weihnachten;Kanton Obwalden
01;Januar;2017;So;KW 52;Neujahrstag;Kanton Schaffhausen
14;April;2017;Fr;KW 15;Karfreitag;Kanton Schaffhausen
17;April;2017;Mo;KW 16;Ostermontag;Kanton Schaffhausen
01;Mai;2017;Mo;KW 18;Tag der Arbeit;Kanton Schaffhausen
25;Mai;2017;Do;KW 21;Auffahrt;Kanton Schaffhausen
05;Juni;2017;Mo;KW 23;Pfingstmontag;Kanton Schaffhausen
01;August;2017;Di;KW 31;Nationalfeiertag Schweiz;Kanton Schaffhausen
25;Dezember;2017;Mo;KW 52;Weihnachten;Kanton Schaffhausen
26;Dezember;2017;Di;KW 52;Stephanstag;Kanton Schaffhausen
01;Januar;2018;Mo;KW 01;Neujahrstag;Kanton Schaffhausen
30;März;2018;Fr;KW 13;Karfreitag;Kanton Schaffhausen
02;April;2018;Mo;KW 14;Ostermontag;Kanton Schaffhausen
01;Mai;2018;Di;KW 18;Tag der Arbeit;Kanton Schaffhausen
10;Mai;2018;Do;KW 19;Auffahrt;Kanton Schaffhausen
21;Mai;2018;Mo;KW 21;Pfingstmontag;Kanton Schaffhausen
01;August;2018;Mi;KW 31;Nationalfeiertag Schweiz;Kanton Schaffhausen
25;Dezember;2018;Di;KW 52;Weihnachten;Kanton Schaffhausen
26;Dezember;2018;Mi;KW 52;Stephanstag;Kanton Schaffhausen
01;Januar;2017;So;KW 52;Neujahrstag;Kanton Schwyz
06;Januar;2017;Fr;KW 01;Heilige drei Könige;Kanton Schwyz
17;Januar;2017;Di;KW 03;St. Antoniustag;Kanton Schwyz
21;Januar;2017;Sa;KW 03;St. Meinradstag;Kanton Schwyz
02;Februar;2017;Do;KW 05;Mariä Lichtmess;Kanton Schwyz
05;Februar;2017;So;KW 05;St. Agatha;Kanton Schwyz
19;März;2017;So;KW 11;St. Josef;Kanton Schwyz
14;April;2017;Fr;KW 15;Karfreitag;Kanton Schwyz
17;April;2017;Mo;KW 16;Ostermontag;Kanton Schwyz
26;April;2017;Mi;KW 17;Kirchenfeiertag;Kanton Schwyz
01;Mai;2017;Mo;KW 18;Heiliger Sigismund;Kanton Schwyz
25;Mai;2017;Do;KW 21;Auffahrt;Kanton Schwyz
05;Juni;2017;Mo;KW 23;Pfingstmontag;Kanton Schwyz
15;Juni;2017;Do;KW 24;Fronleichnam;Kanton Schwyz
01;August;2017;Di;KW 31;Nationalfeiertag Schweiz;Kanton Schwyz
15;August;2017;Di;KW 33;Mariä Himmelfahrt;Kanton Schwyz
14;September;2017;Do;KW 37;Engelweihe;Kanton Schwyz
16;Oktober;2017;Mo;KW 42;Gallustag;Kanton Schwyz
01;November;2017;Mi;KW 44;Allerheiligen;Kanton Schwyz
11;November;2017;Sa;KW 45;St. Martin;Kanton Schwyz
08;Dezember;2017;Fr;KW 49;Mariä Empfängnis;Kanton Schwyz
25;Dezember;2017;Mo;KW 52;Weihnachten;Kanton Schwyz
26;Dezember;2017;Di;KW 52;Stephanstag;Kanton Schwyz
01;Januar;2018;Mo;KW 01;Neujahrstag;Kanton Schwyz
06;Januar;2018;Sa;KW 01;Heilige drei Könige;Kanton Schwyz
17;Januar;2018;Mi;KW 03;St. Antoniustag;Kanton Schwyz
21;Januar;2018;So;KW 03;St. Meinradstag;Kanton Schwyz
02;Februar;2018;Fr;KW 05;Mariä Lichtmess;Kanton Schwyz
05;Februar;2018;Mo;KW 06;St. Agatha;Kanton Schwyz
19;März;2018;Mo;KW 12;St. Josef;Kanton Schwyz
30;März;2018;Fr;KW 13;Karfreitag;Kanton Schwyz
02;April;2018;Mo;KW 14;Ostermontag;Kanton Schwyz
26;April;2018;Do;KW 17;Kirchenfeiertag;Kanton Schwyz
01;Mai;2018;Di;KW 18;Heiliger Sigismund;Kanton Schwyz
10;Mai;2018;Do;KW 19;Auffahrt;Kanton Schwyz
21;Mai;2018;Mo;KW 21;Pfingstmontag;Kanton Schwyz
31;Mai;2018;Do;KW 22;Fronleichnam;Kanton Schwyz
01;August;2018;Mi;KW 31;Nationalfeiertag Schweiz;Kanton Schwyz
15;August;2018;Mi;KW 33;Mariä Himmelfahrt;Kanton Schwyz
14;September;2018;Fr;KW 37;Engelweihe;Kanton Schwyz
16;Oktober;2018;Di;KW 42;Gallustag;Kanton Schwyz
01;November;2018;Do;KW 44;Allerheiligen;Kanton Schwyz
11;November;2018;So;KW 45;St. Martin;Kanton Schwyz
08;Dezember;2018;Sa;KW 49;Mariä Empfängnis;Kanton Schwyz
25;Dezember;2018;Di;KW 52;Weihnachten;Kanton Schwyz
26;Dezember;2018;Mi;KW 52;Stephanstag;Kanton Schwyz
01;Januar;2017;So;KW 52;Neujahrstag;Kanton Solothurn
17;Januar;2017;Di;KW 03;St. Antoniustag;Kanton Solothurn
20;Januar;2017;Fr;KW 03;Fest des hl. Sebastian;Kanton Solothurn
05;Februar;2017;So;KW 05;St. Agatha;Kanton Solothurn
06;März;2017;Mo;KW 10;Fridolinstag;Kanton Solothurn
19;März;2017;So;KW 11;St. Josef;Kanton Solothurn
14;April;2017;Fr;KW 15;Karfreitag;Kanton Solothurn
01;Mai;2017;Mo;KW 18;Tag der Arbeit;Kanton Solothurn
25;Mai;2017;Do;KW 21;Auffahrt;Kanton Solothurn
15;Juni;2017;Do;KW 24;Fronleichnam;Kanton Solothurn
02;Juli;2017;So;KW 26;Mariä Heimsuchung;Kanton Solothurn
04;Juli;2017;Di;KW 27;St. Ulrich;Kanton Solothurn
01;August;2017;Di;KW 31;Nationalfeiertag Schweiz;Kanton Solothurn
15;August;2017;Di;KW 33;Mariä Himmelfahrt;Kanton Solothurn
22;September;2017;Fr;KW 38;St. Mauritiustag;Kanton Solothurn
30;September;2017;Sa;KW 39;St. Urs und Viktor;Kanton Solothurn
16;Oktober;2017;Mo;KW 42;Gallustag;Kanton Solothurn
20;Oktober;2017;Fr;KW 42;Wendelinstag;Kanton Solothurn
01;November;2017;Mi;KW 44;Allerheiligen;Kanton Solothurn
11;November;2017;Sa;KW 45;St. Martin;Kanton Solothurn
08;Dezember;2017;Fr;KW 49;Mariä Empfängnis;Kanton Solothurn
25;Dezember;2017;Mo;KW 52;Weihnachten;Kanton Solothurn
26;Dezember;2017;Di;KW 52;Stephanstag;Kanton Solothurn
01;Januar;2018;Mo;KW 01;Neujahrstag;Kanton Solothurn
17;Januar;2018;Mi;KW 03;St. Antoniustag;Kanton Solothurn
20;Januar;2018;Sa;KW 03;Fest des hl. Sebastian;Kanton Solothurn
05;Februar;2018;Mo;KW 06;St. Agatha;Kanton Solothurn
06;März;2018;Di;KW 10;Fridolinstag;Kanton Solothurn
19;März;2018;Mo;KW 12;St. Josef;Kanton Solothurn
30;März;2018;Fr;KW 13;Karfreitag;Kanton Solothurn
01;Mai;2018;Di;KW 18;Tag der Arbeit;Kanton Solothurn
